북일고맷돼지	1406	0	1624
Manta	2200	0	1600
나빵	1900	2200	2800
이누	2726	2571	2365
슈슈	3300	3400	3300
새쿠	2900	2200	3000
사모	3500	3500	4000
힐탱만	2500	0	0
조커	3400	2600	0
선이	0	0	1700
마카롱카롱	2382	2271	2056
마스크	2500	2300	2400
뇽뇽	2428	0	2350
라온	2100	0	2300
혹서	2200	2300	2500
엄마	2220	1916	2499
Quka	2301	0	2018
까꿍	0	0	3100
탸내	0	0	2900
정베디	2600	3200	3000
건이	4000	4000	4000
츄츄	0	0	2000
jogb	2800	2500	2500
용선생	2700	2700	2700
탕당당	2300	2300	2300
총붙캐	3100	3600	0
클로버	2100	1700	1700
여왕	2900	2800	2800
hansol1	1700	2000	0
노아	3500	4000	3500
